scenario,event_id,market_id,decision_at,settlement_at,side,observed_price,simulated_entry_price,shares,fees,cost,payout,pnl,cluster,availability_verified
conservative,792452,3317137,1788285600,1788473344,NO,0.915,0.945,10.52,0.0546777000,9.9960777000,10.52,0.5239223000,2026-09-01,False
conservative,692426,2884133,1788300000,1788494673,NO,0.939,0.969,10.28,0.0308800920,9.9922000920,10.28,0.2877999080,2026-09-01,False
conservative,722638,2992471,1788309000,1788503449,NO,0.94,0.97,10.27,0.02988570,9.99178570,10.27,0.27821430,2026-09-02,False
conservative,872183,3707314,1788368400,1788557341,NO,0.925,0.955,10.42,0.0447799500,9.9958799500,10.42,0.4241200500,2026-09-02,False
conservative,879965,3741410,1788393540,1788582931,NO,0.625,0.655,14.75,0.3333131250,9.9945631250,0.00,-9.9945631250,2026-09-02,False
conservative,879966,3741437,1788393540,1788579990,YES,0.8,0.83,11.84,0.16706240,9.99426240,11.84,1.84573760,2026-09-02,False
conservative,889995,3778642,1788487200,1788674881,NO,0.71,0.74,13.17,0.25339080,9.99919080,13.17,3.17080920,2026-09-04,False
conservative,478687,2244513,1788566400,1788859935,NO,0.815,0.845,11.65,0.1525858750,9.9968358750,11.65,1.6531641250,2026-09-05,False
conservative,782655,3270747,1788735600,1788924411,NO,0.76,0.79,12.39,0.20555010,9.99365010,12.39,2.39634990,2026-09-06,False
conservative,782664,3270772,1788735600,1788924450,NO,0.905,0.935,10.62,0.0645430500,9.9942430500,10.62,0.6257569500,2026-09-06,False
conservative,90375,704169,1788739200,1789026148,YES,0.835,0.865,11.40,0.1331235000,9.9941235000,0.00,-9.9941235000,2026-09-07,False
conservative,821602,3450092,1788799500,1788986451,NO,0.9695,0.9995,10.00,0.000499750000,9.995499750000,10.00,0.004500250000,2026-09-07,False
conservative,823417,3461862,1788879600,1789067029,NO,0.93,0.96,10.37,0.03982080,9.99502080,10.37,0.37497920,2026-09-08,False
conservative,823383,3461706,1788886800,1789073836,NO,0.715,0.745,13.08,0.2484873000,9.9930873000,13.08,3.0869127000,2026-09-08,False
conservative,823467,3462232,1788886800,1789073794,NO,0.765,0.795,12.32,0.2007852000,9.9951852000,12.32,2.3248148000,2026-09-08,False
